@relation USER18
@attribute a0{﻿297.5,353.5,303.4,250.3,212.2,270.3,280.3,303.2,238.2,310.3,320.4,325.4,312.2,324,315.2,333.3,323.3,326.4,329.4,383.6,361.5,375.5,348.4,313.4,337.4,307.4,319.2,391.3,358,331,311.3,266.2,253.3,304.3,288.1,283.3,305,316.3,361.2}
@attribute a1 integer[0,3]
@attribute a2 integer[41,58]
@attribute a3 real[18.4556545006766,856.167465501314]
@attribute a4 real[91.96770245124,198.225611590742]
@attribute a5 real[0.153875139689073,0.191318782921867]
@attribute a6 integer[9,16]
@attribute a7 real[14.4253269209705,1630.60168362706]
@attribute a8 real[75.9199400146158,208.73198067737]
@attribute a9 integer[10,13]
@attribute a10 real[0.00279329608938548,0.440071556350626]
@attribute a11 real[1.09255756931127E-7,5.06762511643714E-5]
@attribute a12 integer[1,1]
@attribute a13 real[-0.841186736474695,-0.379020979020979]
@attribute a14 real[0.11234921283991,0.237023859355379]
@attribute a15 real[0.424362357080035,0.983816276202219]
@attribute a16 real[0.740425531914894,0.983816276202219]
@attribute a17 real[5.87852550276907E-5,0.0133411822768627]
@attribute a18 real[2.96456259072978E-5,0.00746310632414408]
@attribute a19 real[8.16998892580288,10.0]
@attribute a20 real[9.15714635241585E-8,8.63565157400521E-5]
@attribute a21 real[-0.575637642919965,-0.0161837237977805]
@attribute a22 real[0.591140721057688,0.754237328596614]
@attribute a23 real[-0.259574468085106,-0.0161837237977805]
@attribute a24 real[0.158813263525305,0.620979020979021]
@attribute a25 integer[1,1]
@attribute a26 integer[10,50]
@attribute a27 real[-0.88765078716009,-0.762976140644621]
@attribute a28 real[5.02364066193853E-4,6.38119227539882E-4]
@attribute a29 integer[7,35]
@attribute a30 real[0.217645597625944,0.300213998713473]
@attribute a31 real[114.057612095933,25809.3568890643]
@attribute a32 real[0.618883363499646,0.852517438775762]
@attribute a33 real[2.85474391267842E-4,4.27377892030848E-4]
@attribute a34 real[4.16666666666667E-4,5.08302270416808E-4]
@attribute a35 real[4.39155212872947E-4,5.18672199170124E-4]
@attribute a36 integer[1,2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
﻿297.5,2,47,830.762173232362,168.348254047733,0.174075749575689,11,1630.60168362706,208.73198067737,12,0.131428571428571,1.09255756931127E-7,1,-0.645910020449898,0.209100204498978,0.693307439498058,0.97535106065133,1.40491413115717E-4,9.61604825558908E-5,9.45546218487395,2.18511513862253E-7,-0.306692560501942,0.70822152561025,-0.0246489393486705,0.354089979550102,1,14,-0.790899795501023,5.72342694632065E-4,16,0.267356602115972,8841.29445378151,0.717596001103183,3.91041592605759E-4,4.55030216850338E-4,5.012442232492E-4,1
353.5,2,52,592.849268177735,136.271780744577,0.153875139689073,13,237.658658762706,94.6855829370274,12,0.124752475247525,6.25422447354707E-7,1,-0.677397910731244,0.169610636277303,0.570023736859953,0.957951848084096,1.72683400512597E-4,9.67223833070559E-5,9.65770862800566,5.72603661013811E-7,-0.429976263140048,0.633519986722207,-0.0420481519159037,0.322602089268756,1,28,-0.830389363722697,5.94610427650849E-4,20,0.24207425798436,7443.07864214993,0.807690981976361,3.3684827182191E-4,4.86233157586409E-4,4.68658465143527E-4,1
303.4,1,53,39.1759689021163,137.423134544175,0.158062583789135,11,29.4227357804909,101.380188581811,11,0.329927488464074,5.48597863385372E-7,1,-0.625897845171588,0.214784517158819,0.65340706386015,0.936853371387799,1.59968631771362E-4,8.9463702086019E-5,9.83190507580752,5.08682959619601E-7,-0.34659293613985,0.633733934928617,-0.0631466286122012,0.374102154828412,1,27,-0.785215482841181,6.13476366074422E-4,22,0.23249176501131,8678.01516150297,0.782349722331088,3.05062018102581E-4,4.96144820650352E-4,4.39155212872947E-4,1
250.3,0,45,129.608304652224,168.619077737917,0.163198361106709,11,260.650717674283,125.085818758362,11,0.00399520575309628,6.09359448516389E-7,1,-0.818841862936072,0.181158137063928,0.949477886977887,0.949477886977887,1.16406276062554E-4,6.71186178253366E-5,10.0,6.6269506764255E-7,-0.050522113022113,0.618726186061573,-0.050522113022113,0.181158137063928,1,10,-0.818841862936072,6.2325209748302E-4,7,0.256943340467812,10521.3971234519,0.852517438775762,3.4358769476628E-4,4.79424690371554E-4,4.99400719137036E-4,1
212.2,0,44,761.736755347256,198.225611590742,0.181848007373092,12,170.812507211862,137.795973774967,11,0.00471253534401508,4.91788385621601E-7,1,-0.762976140644621,0.237023859355379,0.94763976155953,0.94763976155953,9.44883396665763E-5,6.1373914222524E-5,10.0,4.22607144830795E-7,-0.0523602384404704,0.621753663499166,-0.0523602384404704,0.237023859355379,1,16,-0.762976140644621,5.79641847313855E-4,8,0.24122498742558,12413.8345900094,0.795239837435303,3.48727615457116E-4,4.71253534401508E-4,4.94816211121583E-4,1
270.3,0,50,52.5536640134354,151.827475711381,0.186392941347801,12,46.1499244180107,113.279019788327,12,0.00369959304476508,5.56268379571996E-7,1,-0.820464841441796,0.179535158558204,0.946045370938075,0.946045370938075,1.20766854278226E-4,7.7593358017643E-5,10.0,6.17552184101114E-7,-0.0539546290619252,0.631626204495786,-0.0539546290619252,0.179535158558204,1,17,-0.820464841441796,6.03033666296707E-4,17,0.235758655916358,9747.88605253422,0.782334125753014,3.40362560118387E-4,4.69848316685165E-4,4.7354790972993E-4,1
280.3,0,49,77.2698231475618,158.584730936222,0.173243668709812,12,55.6913043261784,116.77601815627,12,0.00356760613628255,6.73746752394029E-7,1,-0.782691782691783,0.217308217308217,0.944715943799634,0.944715943799634,1.45935727911117E-4,8.69585172774587E-5,10.0,6.86407765190695E-7,-0.0552840562003665,0.678795827550312,-0.0552840562003665,0.217308217308217,1,14,-0.782691782691783,5.92222618622904E-4,17,0.255613312290499,9402.34213342847,0.780528511059671,3.60328219764538E-4,4.6022119158045E-4,4.81626828398145E-4,1
303.2,0,52,35.113490971421,139.379850355958,0.188284409243428,16,30.2718256215488,109.564943646672,12,0.00329815303430079,6.56485690444962E-7,1,-0.778316559926807,0.221683440073193,0.945845143965389,0.945845143965389,1.41942724931989E-4,8.70486811728382E-5,10.0,7.13182181892482E-7,-0.0541548560346114,0.637562599969288,-0.0541548560346114,0.221683440073193,1,26,-0.778316559926807,5.60686015831135E-4,13,0.24474240066697,8695.29980211082,0.7967600078433,3.56200527704486E-4,4.81530343007916E-4,4.78232189973615E-4,1
238.2,0,41,856.167465501314,192.58029418034,0.187404392704878,10,893.845611897917,163.099382818834,10,0.00419815281276238,2.06474520027412E-7,1,-0.783580150688491,0.216419849311509,0.950641809290954,0.950641809290954,1.11231206284205E-4,6.30377599310503E-5,10.0,2.1369390883956E-7,-0.0493581907090465,0.603748742406058,-0.0493581907090465,0.216419849311509,1,19,-0.783580150688491,6.38119227539882E-4,10,0.267752876201727,11070.7842149454,0.827749148686854,2.85474391267842E-4,4.65994962216625E-4,4.95382031905961E-4,1
310.3,0,47,34.932792490028,141.836532999168,0.18292814143357,11,24.89454331986,97.4851041105718,12,0.00322268772155978,6.61411053174019E-7,1,-0.791104494277473,0.208895505722527,0.96396255850234,0.96396255850234,1.15905425316011E-4,6.91312716363294E-5,10.0,6.17089693940709E-7,-0.0360374414976599,0.705092394641253,-0.0360374414976599,0.208895505722527,1,19,-0.791104494277473,5.76861102159201E-4,12,0.281571908841004,12128.9271672575,0.811619984472272,3.70609087979375E-4,4.70512407347728E-4,4.99516596841766E-4,1
