@relation USER2
@attribute a0{﻿261.4,257.3,253.4,252.4,243.4,230.4,273.4,234.3,253.3,281.4,284.4,266.4,278.4,260.4,277.4,377.5,309.4,303.4,326.4,322.5,321.4,317.4,271.4,319.5,301.5,538.7,465.6,430.6,479.7,555.8,507.7,576.8,494.7,517.7,546.7}
@attribute a1 integer[2,8]
@attribute a2 integer[53,88]
@attribute a3 real[38.3879495230849,2145.69975410762]
@attribute a4 real[100.995752874829,278.023671189597]
@attribute a5 real[0.168297569604081,0.268299732106456]
@attribute a6 integer[12,24]
@attribute a7 real[21.4557089313723,1036.28845842827]
@attribute a8 real[55.6509865419787,147.280712315286]
@attribute a9 integer[14,20]
@attribute a10 real[0.0426803243704652,0.719602063375092]
@attribute a11 real[1.17704813870202E-7,1.89540954374143E-6]
@attribute a12 real[1.0,1.09122104110941]
@attribute a13 real[-0.0937380314055917,0.0]
@attribute a14 real[0.0,0.151586471408647]
@attribute a15 real[0.356707317073171,1.04434357541899]
@attribute a16 real[0.181629475869227,1.08279386712095]
@attribute a17 real[8.33502257108372E-5,3.60870439346545E-4]
@attribute a18 real[2.46877529038581E-5,1.05259039923829E-4]
@attribute a19 real[5.2375173370319,9.55784819454679]
@attribute a20 real[1.06494831596849E-7,1.04547823400945E-6]
@attribute a21 real[-0.643292682926829,0.0]
@attribute a22 real[0.565531574543085,0.684700090801579]
@attribute a23 real[-0.818370524130773,0.0]
@attribute a24 real[0.906261968594408,1.02805215329909]
@attribute a25 real[0.930724522950488,1.02615596119341]
@attribute a26 integer[3,48]
@attribute a27 real[-1.00009458053533,-0.853294979079498]
@attribute a28 real[4.67372134038801E-4,6.60334690185436E-4]
@attribute a29 integer[1,40]
@attribute a30 real[0.251587633391686,0.316435424773437]
@attribute a31 real[6288.13217003898,26107.8119092628]
@attribute a32 real[0.735739521642986,0.965828647340358]
@attribute a33 real[2.94190358467244E-4,4.21319796954315E-4]
@attribute a34 real[3.97595931576514E-4,4.96909765142151E-4]
@attribute a35 real[4.26219870664315E-4,5.95E-4]
@attribute a36 integer[1,2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
﻿261.4,4,57,104.421284002258,176.45273554169,0.220806762586106,13,75.6253492233922,106.942925077481,15,0.0688599846977812,8.70575931152869E-7,1.0,-0.0119371118012422,0.0677406832298137,0.78631498470948,0.974006116207951,1.84374404428426E-4,4.68093402547323E-5,7.73527161438409,4.66805880892145E-7,-0.21368501529052,0.633783631912485,-0.0259938837920489,0.988062888198758,1.0,10,-0.932259316770186,6.03363006923838E-4,10,0.274789216141404,11917.4701606733,0.81901333944476,3.70919881305638E-4,4.40158259149357E-4,5.34124629080119E-4,1
257.3,6,64,374.30033309465,198.953626220025,0.239144901148221,14,137.474432162652,102.492816540048,19,0.0699572483482316,8.22516659608771E-7,1.0292394290905,0.0,0.0925854412048658,0.861644331763854,1.00688156465049,1.58974718144254E-4,4.17406230110528E-5,7.62145355616012,2.33060563322444E-7,-0.145237232886635,0.603373853607069,0.0,1.02220505889168,1.01521876532371,11,-0.929619617686812,6.11932687404386E-4,12,0.286102615686079,12109.4850369219,0.876646177598527,3.67159612442631E-4,4.33452320244773E-4,5.40540540540541E-4,1
253.4,6,61,93.7340192124563,184.635788241606,0.223296794685105,15,58.236034164355,96.8646272756951,16,0.0710339384372533,8.27921217433633E-7,1.02107572000763,0.0,0.078294869349609,0.724212034383954,0.92406876790831,1.56975286185676E-4,4.09335013570942E-5,7.62430939226519,3.8977734291549E-7,-0.275787965616046,0.59547520083071,-0.0759312320916905,1.02107572000763,1.02107572000763,12,-0.94278085065802,6.15942028985507E-4,8,0.287908218909999,12297.7316495659,0.872722218053063,3.51966873706004E-4,4.34782608695652E-4,5.53830227743271E-4,1
252.4,6,56,110.459913228319,209.489784534125,0.248556831521958,13,77.865871156717,106.838596889534,14,0.0752773375594295,4.14197773513787E-7,1.05624850520861,0.0,0.0582188580506495,0.550674507090972,1.05084745762712,1.4797753997689E-4,4.17958131693745E-5,7.61093502377179,3.87453215290215E-7,-0.500172950536147,0.602767173685199,0.0,1.00513970656948,0.956503914316118,6,-0.94692084851883,6.35085892764185E-4,2,0.27226421351253,12348.1489698891,0.798270511852249,3.59187922956793E-4,4.37272254034357E-4,5.77824049973972E-4,1
243.4,5,61,126.13974193111,237.199008559915,0.235216372329595,15,60.9939259143382,109.862713389532,16,0.0739523418241578,7.75053180367532E-7,1.08832449582788,0.0,0.0699499007467625,0.857520564042303,1.06991774383079,1.16435460402858E-4,3.94069274962559E-5,7.64585045193098,4.07630831892763E-7,-0.212397179788484,0.588650671652606,0.0,1.01720389450799,0.950730932703237,4,-0.947253993761225,6.1794734013971E-4,1,0.286614054077828,12806.3861955629,0.885148389271424,3.97635679742074E-4,4.51370231058571E-4,5.80333154218162E-4,1
230.4,4,59,108.45095996083,216.662052265174,0.224442838142943,13,50.866319592924,113.882660070038,16,0.0785590277777778,5.94869823576103E-7,1.00192307692308,0.0,0.106174089068826,0.86101083032491,0.99338146811071,1.31320197985036E-4,4.4096205485631E-5,8.515625,4.68381713720973E-7,-0.13898916967509,0.588414549501622,-0.00661853188929001,1.00192307692308,1.00192307692308,7,-0.895748987854251,5.96330275229358E-4,5,0.28477206309004,13530.5985243056,0.832632686819197,3.92456676860347E-4,4.48521916411825E-4,5.5045871559633E-4,1
273.4,7,65,92.0847210728668,193.333080210586,0.199413638228478,16,59.2300898493058,103.807396635197,17,0.06949524506218,9.30222400813506E-7,1.02995184930149,0.0,0.0741801659423153,1.00184785956267,0.828457037265168,1.44214497749237E-4,4.50739586066744E-5,7.20555961960498,5.474412289845E-7,0.0,0.609291197018885,-0.173390822297505,1.02805215329909,1.02615596119341,7,-0.953871987356776,5.73604060913706E-4,6,0.286390192453099,11403.8972201902,0.873168792979848,4.21319796954315E-4,4.77157360406091E-4,5.22842639593909E-4,1
234.3,6,57,132.873166563725,229.443833908078,0.213657747706292,12,51.4799913446735,106.2928287364,17,0.0426803243704652,8.58567987664363E-7,1.02084556664709,0.0,0.0290663534938344,0.812826465467208,0.385664538595473,1.20217955310471E-4,3.9715374748335E-5,7.51600512163892,3.05120140882017E-7,-0.187173534532792,0.604612414529463,-0.614335461404527,1.02084556664709,1.02084556664709,4,-0.991779213153259,6.24645088018172E-4,6,0.283665068796477,13308.7413572343,0.863419109841807,3.86144236229415E-4,4.65644520159001E-4,5.33787620670074E-4,1
253.3,6,59,634.541627287996,228.130126839461,0.243646483128204,12,572.537265768392,119.59049526042,17,0.0671140939597315,2.81081768344544E-7,1.09122104110941,0.0,0.0695927601809955,1.00783645655877,1.08279386712095,1.40560342318602E-4,4.01132155072303E-5,7.74575602052902,2.75303787616785E-7,-0.0749574105621806,0.565531574543085,0.0,1.00778280542986,0.930724522950488,7,-0.938190045248869,6.06523955147808E-4,3,0.287774981782482,12312.0473746546,0.913002291379672,3.92456676860347E-4,4.63812436289501E-4,5.55555555555556E-4,1
281.4,7,59,104.308417902513,222.520334752431,0.23245125056348,16,53.3263570577243,97.3368835295546,14,0.0746268656716418,9.10781368735984E-7,1.03888294157319,0.0,0.0717027052326126,0.904719501335708,1.02582368655387,1.42415003375268E-4,4.54927675076186E-5,6.85856432125089,5.23652532332804E-7,-0.121104185218166,0.644943484997603,0.0,1.01273050641206,0.987236422483281,6,-0.941027801179444,5.90673575129534E-4,5,0.28327134839388,11084.197938877,0.891710101084918,4.19689119170985E-4,4.40414507772021E-4,5.75129533678757E-4,1
